# verified_date=2024-12-12
substance_name	category_code	prohibited
Furethidine	N	false
GHB(γ-Hydroxybutyric acid)	N	false
Glutethimide	P	false
Halazepam	P	false
Haloxazolam	P	false
Heroin, other morphine ester	N	true
Hydrocodone, its ester	N	false
Hydromorphinol	N	false
Hydromorphone, its ester	N	false
Hydroxypethidine	N	false
Isomethadone	N	false
Isotonitazene	N	false
JWH-018	N	false
JWH-073	N	false
JWH-122	N	false
Ketamine	N	false
Ketazolam	P	false
Ketobemidone	N	false
Lefetamine	P	false
Lisdexamfetamine	SRM	false
Loprazolam	P	false
Lorazepam	P	false
Lormetazepam	P	false
Lysergide(Lysergic acid diethylamide,LSD,LSD-25)	N	false
MAM-2201	N	false
Mazindol	P	false
MBDB	N	false
MDA (3,4-Methylenedioxyamphetamine)	N	false
MDMA(3,4-Methylenedioxymethamphetamine)	N	false
MDMB-4en-PINACA	N	false
MDMB-CHIMICA、MMB-CHMINACA	N	false
MDPV	N	false
Mecloqualone	P	false
Medazepam	P	false
Mefenorex	P	false
Meprobamate	P	false
Mescaline	N	false
Mesocarb	P	false
Metazocine	N	false
Methadone intermediate	N	false
Methadone (It is prohibited to import or export in case of which you take Methadone for treating substance use disorders. )	N	false
Methamphetamine, Phenylmethylaminopropane	S	true
Methaqualone	P	true
Methcathinone	N	false
Methiopropamine	N	false
Methoxetamine	N	false
Methoxyacetylfentanyl	N	false
Methyl 2-methyl-3-phenyloxirane-2-carboxylate	SRM	false
Methyl α-phenylacetoacetate,MAPA	SRM	false
Methyldihydromorphine	N	false
Methylephedrine, Methylpseudoephedrine (*Any substances containing 10% or less of methylephedrine are excluded.)	SRM	false
Methylone	N	false
Methylphenidate	P	false
Methylphenobarbital	P	false
Methyprylon	P	false
Metonitazene	N	false
Metopon, its ester	N	false
Metyldesorphine	N	false
Midazolam	P	false
MMDA(5-Methoxy-3,4-methylenedioxyamphetamin)	N	false
Modafinil	P	false
Moramido intermediate	N	false
Morpheridine	N	false
Morphine	N	false
Morphine-N-oxydo, other pentavalent nitrogen morphine, and its derivatives **	N	false
MPPP	N	false
MT-45	N	false
Nalorphine, its ester	N	false
N-Ethyl MDA(N-Ethylmethylenedioxyamphetamine)	N	false
N-Ethylhexedrone	N	false
N-Ethylnorpentylone, ephylone, bk-EPDP	N	false
Ｎ-Hydroxy MDA(N-Hydroxy-3,4-methylenedioxyamphetamine)	N	false
Ｎ-Hydroxy MDMA,Ｎ-OH MDMA,FLEA	N	false
Nicocodine	N	false
Nimetazepam	P	false
Nitrazepam	P	false
Noracymethadole	N	false
Nordazepam	P	false
Norephedrine, Phenylpropanolamine (*Any substances containing 50% or less of norephedrine or phenylpropanolamine are excluded.)	SRM	false
Normesadone	N	false
Norpipanone	N	false
Ocfentanil, A-3217	N	false
Opium (INN:Opium powder, Opium tincture)	O	true
Oripavine	N	false
Oxazepam	P	false
Oxazolam	P	false
Oxycodone, its ester	N	false
Oxymorphone**	N	false
Parahexyl	N	false
Pemoline	P	false
Pentazocine	P	false
Pentedrone	N	false
Pentobarbital	P	false
PEPAP	N	false
Pethidine intermediate A	N	false
Pethidine intermediate B	N	false
Pethidine intermediate C	N	false
p-Fluorofentanyl	N	false
Phenadoxone	N	false
Phenanpromid	N	false
Phenazepam	P	false
Phenazocine	N	false
Phencyclidine (PCP)	N	false
Phendimetrazine	P	false
Phenmetrazine	P	false
Phenobarbital	P	false
Phenomorphan	N	false
Phenoperidine	N	false
Phentermine	P	false
Phenylacetic acid (*Any substances containing 10% or less of phenylacetic acid are excluded.)	SRM	false
Phenylacetoacetonitrile **	SRM	false
Phenylacetone **	SRM	false
Piminodine	N	false
Pinazepam	P	false
Pipradrol	P	false
Piritramide	N	false
PMA (p-Methoxyamphetamine)	N	false
PMMA	N	false
Prazepam	P	false
Proheptazine	N	false
Propiram	N	false
Propoxyphene	N	false
Propyl 2-methyl2-phenyloxirane-2-carboxylate	SRM	false
Propylhexedrine	P	false
Protonitazene	N	false
Psilocin	N	false
Psilocybin	N	false
Pyrovalerone	P	false
Quazepam	P	false
Remifentanil	N	false
Remimazolam	P	false
Rolicyclidine	N	false
Secbutabarbital	P	false
Secobarbital	P	false
Selegiline, Deprenyl	SRM	false
Sufentanil	N	false
Tapentadol	N	false
Temazepam	P	false
Tenocyclidine	N	false
Tetrazepam	P	false
TFMPP	N	false
THCA	N	false
Thebaine	N	false
THF-F,THF-fentanyl,Tetrahydrofuranyl fentanyl	N	false
Thiofentanyl	N	false
Tilidine	N	false
TMA(3,4,5-Trimethoxyamphetamine)	N	false
TMA-2	N	false
Triazolam	P	false
Trimeperidine	N	false
Ｕ-47700	N	false
UR-144	N	false
Valerylfentanyl	N	false
Vinylbital	P	false
XLR-11	N	false
Zipeprol	P	false
Zolpidem	P	false
Zopiclone	P	false
α-acethylmetadol	N	false
α-meprodine	N	false
α-methadol	N	false
α-Methylfentanyl	N	false
α-methylthiofentanil	N	false
α-phenylacetoacetamide,APAA	SRM	false
α-PHP	N	false
α-PiHP,α-PHiP	N	false
α-prodine	N	false
α-PVP	N	false
β-acethylmetadol	N	false
β-Hydroxy-3-methylfentanyl	N	false
β-hydroxyfentanil	N	false
β-meprodine	N	false
β-methadol	N	false
β-prodine	N	false
Δ10 THC	N	false
Δ6a(10a) THC	N	false
Δ6a(7) THC	N	false
Δ7 THC	N	false
Δ8 THC	N	false
Δ8-THCO	N	false
Δ8-THCOP	N	false
Δ9 THC	N	false
Δ9(11) THC	N	false
Δ9-THCO	N	false
Δ9-THCOP	N	false
